UF,Município,Situação do Plano,Valor Disponível
SP,ALTAIR,Autorizado,59077.04
PA,ALTAMIRA,Autorizado,952306.11
MA,ALTAMIRA DO MARANHAO,Autorizado,84347.07
PR,ALTAMIRA DO PARANA,Autorizado,43166.42
CE,ALTANEIRA,Autorizado,86118.63
MG,ALTEROSA,Autorizado,153932.6
PE,ALTINHO,Autorizado,225256.49
SP,ALTINOPOLIS,Autorizado,162205.53
SP,ALTO ALEGRE,Autorizado,58155.8
RR,ALTO ALEGRE,Autorizado,125894.97
RS,ALTO ALEGRE,Autorizado,39962.02
MA,ALTO ALEGRE DO MARANHAO,Autorizado,257875.38
MA,ALTO ALEGRE DO PINDARE,Autorizado,293963.71
RO,ALTO ALEGRE DOS PARECIS,Autorizado,129718.1
MT,ALTO ARAGUAIA,Autorizado,186467.97
SC,ALTO BELA VISTA,Autorizado,39720.86
MT,ALTO BOA VISTA,Autorizado,74081.78
MG,ALTO CAPARAO,Autorizado,72954.27
RN,ALTO DO RODRIGUES,Autorizado,155753.34
RS,ALTO FELIZ,Autorizado,50026.47
MT,ALTO GARCAS,Autorizado,118634.43
GO,ALTO HORIZONTE,Autorizado,75637.43
MG,ALTO JEQUITIBA,Autorizado,89218.09
PI,ALTO LONGA,Autorizado,143343.6
MT,ALTO PARAGUAI,Autorizado,113536.39
RO,ALTO PARAISO,Autorizado,199551.85
PR,ALTO PARAISO,Autorizado,51485.36
GO,ALTO PARAISO DE GOIAS,Autorizado,82252.39
PR,ALTO PARANA,Autorizado,158965.91
MA,ALTO PARNAIBA,Autorizado,114076.73
PR,ALTO PIQUIRI,Autorizado,111698.6
MG,ALTO RIO DOCE,Autorizado,116706.11
ES,ALTO RIO NOVO,Autorizado,84828.65
CE,ALTO SANTO,Autorizado,165860.5
MT,ALTO TAQUARI,Autorizado,112331.15
PR,ALTONIA,Autorizado,220952.15
PI,ALTOS,Autorizado,360624.48
SP,ALUMINIO,Autorizado,190752.47
AM,ALVARAES,Autorizado,156122.24
MG,ALVARENGA,Autorizado,58027.3
SP,ALVARES FLORENCE,Autorizado,54955.66
