UF,Município,Situação do Plano,Valor Disponível
AL,COLONIA LEOPOLDINA,Autorizado,219491.3
PR,COLORADO,Autorizado,245742.44
RS,COLORADO,Não Cadastrado,50338.16
RO,COLORADO DO OESTE,Autorizado,150753.48
MG,COLUNA,Autorizado,92847.65
TO,COMBINADO,Autorizado,58248.45
MG,COMENDADOR GOMES,Em Elaboração,53490.33
RJ,COMENDADOR LEVY GASPARIAN,Autorizado,86008.08
MG,COMERCINHO,Autorizado,77705.96
MT,COMODORO,Autorizado,197100.41
PB,CONCEICAO,Autorizado,194942.7
MG,CONCEICAO DA APARECIDA,Autorizado,114129.39
ES,CONCEICAO DA BARRA,Autorizado,298129.39
MG,CONCEICAO DA BARRA DE MINAS,Autorizado,59107.86
BA,CONCEICAO DA FEIRA,Autorizado,225136.71
MG,CONCEICAO DAS ALAGOAS,Autorizado,273617.59
MG,CONCEICAO DAS PEDRAS,Autorizado,51315.36
MG,CONCEICAO DE IPANEMA,Autorizado,63554.77
RJ,CONCEICAO DE MACABU,Autorizado,216215.12
BA,CONCEICAO DO ALMEIDA,Autorizado,184643.42
PA,CONCEICAO DO ARAGUAIA,Autorizado,415435.17
PI,CONCEICAO DO CANINDE,Autorizado,59604.46
ES,CONCEICAO DO CASTELO,Autorizado,129306.36
BA,CONCEICAO DO COITE,Autorizado,599390.67
BA,CONCEICAO DO JACUIPE,Autorizado,321333.8
MA,CONCEICAO DO LAGO-ACU,Autorizado,160035.56
MG,CONCEICAO DO MATO DENTRO,Autorizado,184433.75
MG,CONCEICAO DO PARA,Autorizado,70322.13
MG,CONCEICAO DO RIO VERDE,Autorizado,148135.42
TO,CONCEICAO DO TOCANTINS,Autorizado,52707.1
MG,CONCEICAO DOS OUROS,Autorizado,124526.32
SP,CONCHAL,Autorizado,267134.96
SP,CONCHAS,Autorizado,185453.57
SC,CONCORDIA,Autorizado,638875.04
PA,CONCORDIA DO PARA,Autorizado,302868.23
PE,CONDADO,Autorizado,262289.14
PB,CONDADO,Autorizado,77709.61
PB,CONDE,Autorizado,249178.23
BA,CONDE,Autorizado,258973.25
BA,CONDEUBA,Autorizado,184823.51
RS,CONDOR,Autorizado,75814.46
MG,CONEGO MARINHO,Autorizado,85366.85
MG,CONFINS,Autorizado,79389.13
MT,CONFRESA,Autorizado,288734.03
PB,CONGO,Autorizado,64722.12
MG,CONGONHAL,Autorizado,126999.14
MG,CONGONHAS,Autorizado,503443.08
MG,CONGONHAS DO NORTE,Autorizado,66782.61
PR,CONGONHINHAS,Autorizado,94887.85
MG,CONQUISTA,Autorizado,80289.6
MT,CONQUISTA D'OESTE,Autorizado,53793.58
MG,CONSELHEIRO LAFAIETE,Autorizado,1095452.25
PR,CONSELHEIRO MAIRINCK,Autorizado,60219.9
MG,CONSELHEIRO PENA,Autorizado,222786.69
MG,CONSOLACAO,Autorizado,44194.75
RS,CONSTANTINA,Autorizado,97543.39
MG,CONTAGEM,Autorizado,4961713.32
PR,CONTENDA,Autorizado,198710.65
BA,CONTENDAS DO SINCORA,Autorizado,61023.57
MG,COQUEIRAL,Autorizado,94849.46
RS,COQUEIRO BAIXO,Autorizado,39269.37
AL,COQUEIRO SECO,Autorizado,74520.08
RS,COQUEIROS DO SUL,Autorizado,44651.37
MG,CORACAO DE JESUS,Autorizado,258642.14
BA,CORACAO DE MARIA,Autorizado,232430.28
PR,CORBELIA,Autorizado,185411.45
RJ,CORDEIRO,Autorizado,206455.43
SP,CORDEIROPOLIS,Autorizado,243757.46
BA,CORDEIROS,Autorizado,93177.16
SC,CORDILHEIRA ALTA,Autorizado,58215.06
MG,CORDISBURGO,Autorizado,93491.82
MG,CORDISLANDIA,Autorizado,56385.68
CE,COREAU,Autorizado,227068.92
PB,COREMAS,Autorizado,159540.75
MS,CORGUINHO,Autorizado,74160.72
BA,CORIBE,Autorizado,152960.77
MG,CORINTO,Autorizado,237772.1
PR,CORNELIO PROCOPIO,Autorizado,442265.25
MG,COROACI,Autorizado,110984.7
SP,COROADOS,Autorizado,72833.4
MA,COROATA,Autorizado,564499.95
MG,COROMANDEL,Autorizado,267910.01
RS,CORONEL BARROS,Autorizado,46410.74
RS,CORONEL BICACO,Autorizado,78910.67
PR,CORONEL DOMINGOS SOARES,Não Cadastrado,85481.44
RN,CORONEL EZEQUIEL,Autorizado,69535.58
MG,CORONEL FABRICIANO,Autorizado,936569.25
SC,CORONEL FREITAS,Autorizado,95030.29
RN,CORONEL JOAO PESSOA,Autorizado,65497.34
BA,CORONEL JOAO SA,Autorizado,186963.85
PI,CORONEL JOSE DIAS,Autorizado,58752.47
SP,CORONEL MACEDO,Não Cadastrado,61709.18
SC,CORONEL MARTINS,Não Cadastrado,44188.55
MG,CORONEL MURTA,Autorizado,95611.38
MG,CORONEL PACHECO,Autorizado,53261.77
RS,CORONEL PILAR,Autorizado,40045.14
MS,CORONEL SAPUCAIA,Autorizado,159520.57
PR,CORONEL VIVIDA,Autorizado,208047.76
MG,CORONEL XAVIER CHAVES,Autorizado,55706.86
MG,CORREGO DANTA,Autorizado,53767.4
MG,CORREGO DO BOM JESUS,Autorizado,57348.49
GO,CORREGO DO OURO,Autorizado,44176.52
MG,CORREGO FUNDO,Autorizado,76327.56
MG,CORREGO NOVO,Autorizado,50442.59
SC,CORREIA PINTO,Autorizado,120577.04
PI,CORRENTE,Autorizado,246754.42
PE,CORRENTES,Autorizado,192915.9
BA,CORRENTINA,Autorizado,311719.59
PE,CORTES,Autorizado,130861.78
MS,CORUMBA,Autorizado,948454.18
GO,CORUMBA DE GOIAS,Autorizado,115823.06
GO,CORUMBAIBA,Autorizado,97913.58
SP,CORUMBATAI,Autorizado,58114.24
PR,CORUMBATAI DO SUL,Autorizado,54311.45
RO,CORUMBIARA,Não Cadastrado,71535.91
SC,CORUPA,Autorizado,156998.54
AL,CORURIPE,Autorizado,523152.06
SP,COSMOPOLIS,Autorizado,646763.76
SP,COSMORAMA,Autorizado,80397.33
RO,COSTA MARQUES,Autorizado,178751.07
MS,COSTA RICA,Autorizado,211631.14
BA,COTEGIPE,Autorizado,150522.59
SP,COTIA,Autorizado,2033506.13
RS,COTIPORA,Autorizado,55436.2
MT,COTRIGUACU,Não Cadastrado,193415.43
TO,COUTO DE MAGALHAES,Autorizado,63928.3
MG,COUTO DE MAGALHAES DE MINAS,Autorizado,62550.4
RS,COXILHA,Autorizado,47865.34
MS,COXIM,Autorizado,316385.69
PB,COXIXOLA,Autorizado,45057.3
AL,CRAIBAS,Autorizado,247796.92
CE,CRATEUS,Autorizado,662870.41
CE,CRATO,Autorizado,1123772.2
SP,CRAVINHOS,Autorizado,328133.31
BA,CRAVOLANDIA,Autorizado,70215.26
SC,CRICIUMA,Autorizado,1750724.29
MG,CRISOLITA,Autorizado,79022.03
BA,CRISOPOLIS,Autorizado,213264.41
RS,CRISSIUMAL,Autorizado,140157.4
MG,CRISTAIS,Autorizado,132893.73
SP,CRISTAIS PAULISTA,Autorizado,90884.28
RS,CRISTAL,Autorizado,85200.07
RS,CRISTAL DO SUL,Autorizado,48620.37
TO,CRISTALANDIA,Autorizado,74858.58
PI,CRISTALANDIA DO PIAUI,Autorizado,84117.93
MG,CRISTALIA,Autorizado,73328.31
GO,CRISTALINA,Autorizado,539448.74
MG,CRISTIANO OTONI,Autorizado,67572.25
GO,CRISTIANOPOLIS,Autorizado,49080.59
MG,CRISTINA,Autorizado,113159.67
SE,CRISTINAPOLIS,Autorizado,186624.7
PI,CRISTINO CASTRO,Autorizado,107521.01
BA,CRISTOPOLIS,Autorizado,152081.09
GO,CRIXAS,Autorizado,175822.97
TO,CRIXAS DO TOCANTINS,Autorizado,36630.3
CE,CROATA,Autorizado,191472.79
GO,CROMINIA,Autorizado,52516.22
MG,CRUCILANDIA,Autorizado,66955.76
CE,CRUZ,Autorizado,250305.38
RS,CRUZ ALTA,Autorizado,528353.17
BA,CRUZ DAS ALMAS,Autorizado,575348.22
PB,CRUZ DO ESPIRITO SANTO,Autorizado,185030.63
PR,CRUZ MACHADO,Autorizado,196563.36
SP,CRUZALIA,Autorizado,43907.66
RS,CRUZALTENSE,Autorizado,41174.19
SP,CRUZEIRO,Autorizado,713760.61
MG,CRUZEIRO DA FORTALEZA,Autorizado,57112.98
PR,CRUZEIRO DO IGUACU,Autorizado,62561.09
PR,CRUZEIRO DO OESTE,Autorizado,211732.77
PR,CRUZEIRO DO SUL,Autorizado,63953.35
AC,CRUZEIRO DO SUL,Autorizado,715754.84
RS,CRUZEIRO DO SUL,Autorizado,124883.41
RN,CRUZETA,Autorizado,86623.67
MG,CRUZILIA,Autorizado,160603.44
PR,CRUZMALTINA,Autorizado,53300.16
SP,CUBATAO,Autorizado,1097381.8
PB,CUBATI,Autorizado,86049.33
MT,CUIABA,Autorizado,4893549
PB,CUITE,Autorizado,203954.28
PB,CUITE DE MAMANGUAPE,Autorizado,75617.76
PB,CUITEGI,Autorizado,78305.31
RO,CUJUBIM,Autorizado,240868.52
GO,CUMARI,Autorizado,48097.02
PE,CUMARU,Autorizado,109742.36
PA,CUMARU DO NORTE,Autorizado,138357.41
SE,CUMBE,Autorizado,58107.59
SP,CUNHA,Autorizado,207861.33
SC,CUNHA PORA,Autorizado,112507.48
SC,CUNHATAI,Autorizado,40115.68
MG,CUPARAQUE,Autorizado,66637.15
PE,CUPIRA,Autorizado,244847.8
BA,CURACA,Autorizado,331266.65
PI,CURIMATA,Autorizado,114426.89
PA,CURIONOPOLIS,Autorizado,172340.47
PR,CURITIBA,Autorizado,14750034.42
SC,CURITIBANOS,Autorizado,356691.97
PR,CURIUVA,Autorizado,161348.7
PI,CURRAIS,Autorizado,60788.93
RN,CURRAIS NOVOS,Autorizado,416625.74
PB,CURRAL DE CIMA,Autorizado,67645.17
MG,CURRAL DE DENTRO,Autorizado,86315.81
PI,CURRAL NOVO DO PIAUI,Autorizado,63615
PB,CURRAL VELHO,Autorizado,48936.25
PA,CURRALINHO,Autorizado,311831.36
PI,CURRALINHOS,Autorizado,57277.1
PA,CURUA,Autorizado,143427.75
PA,CURUCA,Autorizado,358580.26
MA,CURURUPU,Autorizado,298064.29
MT,CURVELANDIA,Não Cadastrado,61440.62
MG,CURVELO,Autorizado,699549.98
PE,CUSTODIA,Autorizado,359627.7
AP,CUTIAS,Autorizado,58561.82
GO,DAMIANOPOLIS,Autorizado,51435.66
PB,DAMIAO,Autorizado,69030.53
GO,DAMOLANDIA,Autorizado,48955.92
TO,DARCINOPOLIS,Autorizado,67807.25
BA,DARIO MEIRA,Autorizado,115861.77
MG,DATAS,Autorizado,69442.44
RS,DAVID CANABARRO,Autorizado,61725.6
MA,DAVINOPOLIS,Autorizado,125782.79
GO,DAVINOPOLIS,Autorizado,43068.26
MG,DELFIM MOREIRA,Autorizado,87285.53
MG,DELFINOPOLIS,Autorizado,81321.69
AL,DELMIRO GOUVEIA,Autorizado,487507.43
MG,DELTA,Autorizado,118583.24
PI,DEMERVAL LOBAO,Autorizado,139817.93
MT,DENISE,Autorizado,91633.95
MS,DEODAPOLIS,Autorizado,132352.93
CE,DEPUTADO IRAPUAN PINHEIRO,Autorizado,99875
RS,DERRUBADAS,Autorizado,47775.31
SP,DESCALVADO,Autorizado,315935.48
SC,DESCANSO,Autorizado,82811.66
MG,DESCOBERTO,Autorizado,66761.82
PB,DESTERRO,Autorizado,89277.14
MG,DESTERRO DE ENTRE RIOS,Autorizado,82152.86
MG,DESTERRO DO MELO,Em Elaboração,51682.48
RS,DEZESSEIS DE NOVEMBRO,Autorizado,45094.7
SP,DIADEMA,Autorizado,3222592.99
PB,DIAMANTE,Autorizado,76629.07
PR,DIAMANTE D'OESTE,Autorizado,69834.1
PR,DIAMANTE DO NORTE,Autorizado,67728.39
PR,DIAMANTE DO SUL,Autorizado,56881.25
MG,DIAMANTINA,Autorizado,438031.56
MT,DIAMANTINO,Autorizado,204456.51
TO,DIANOPOLIS,Autorizado,206294.21
BA,DIAS D'AVILA,Autorizado,734467.15
RS,DILERMANDO DE AGUIAR,Autorizado,49666.29
MG,DIOGO DE VASCONCELOS,Autorizado,57999.59
MG,DIONISIO,Autorizado,83725.23
SC,DIONISIO CERQUEIRA,Autorizado,152094.45
GO,DIORAMA,Autorizado,45721.16
SP,DIRCE REIS,Autorizado,42411.49
PI,DIRCEU ARCOVERDE,Autorizado,75085.54
SE,DIVINA PASTORA,Autorizado,66987.54
MG,DIVINESIA,Autorizado,55582.18
MG,DIVINO,Autorizado,202318.39
MG,DIVINO DAS LARANJEIRAS,Autorizado,66242.31
ES,DIVINO DE SAO LOURENCO,Autorizado,59373.18
SP,DIVINOLANDIA,Não Cadastrado,116258.82
MG,DIVINOLANDIA DE MINAS,Autorizado,84847.35
MG,DIVINOPOLIS,Autorizado,1973937.6
GO,DIVINOPOLIS DE GOIAS,Autorizado,61126.08
TO,DIVINOPOLIS DO TOCANTINS,Autorizado,72905.27
MG,DIVISA ALEGRE,Autorizado,79936.34
MG,DIVISA NOVA,Autorizado,73653.84
MG,DIVISOPOLIS,Autorizado,121367.74
SP,DOBRADA,Autorizado,92858.39
SP,DOIS CORREGOS,Autorizado,261683.67
RS,DOIS IRMAOS,Autorizado,309564.97
RS,DOIS IRMAOS DAS MISSOES,Autorizado,42746.55
MS,DOIS IRMAOS DO BURITI,Autorizado,121990.64
TO,DOIS IRMAOS DO TOCANTINS,Autorizado,74200.55
RS,DOIS LAJEADOS,Autorizado,52568.57
AL,DOIS RIACHOS,Autorizado,121638.59
PR,DOIS VIZINHOS,Autorizado,386734.43
SP,DOLCINOPOLIS,Autorizado,44510.26
MT,DOM AQUINO,Autorizado,80973.82
BA,DOM BASILIO,Autorizado,129257.94
MG,DOM BOSCO,Autorizado,57002.15
MG,DOM CAVATI,Autorizado,66630.22
PA,DOM ELISEU,Autorizado,522543.87
PI,DOM EXPEDITO LOPES,Autorizado,74351.34
RS,DOM FELICIANO,Autorizado,155998.68
PI,DOM INOCENCIO,Autorizado,92596.18
MG,DOM JOAQUIM,Autorizado,62550.4
BA,DOM MACEDO COSTA,Autorizado,61349.13
RS,DOM PEDRITO,Autorizado,351596.67
MA,DOM PEDRO,Autorizado,216439.8
RS,DOM PEDRO DE ALCANTARA,Não Cadastrado,46403.82
MG,DOM SILVERIO,Autorizado,68029.41
MG,DOM VICOSO,Autorizado,52548.3
ES,DOMINGOS MARTINS,Autorizado,316422.72
PI,DOMINGOS MOURAO,Autorizado,56425.11
SC,DONA EMMA,Autorizado,55714.53
MG,DONA EUSEBIA,Autorizado,77983.01
RS,DONA FRANCISCA,Autorizado,49437.7
PB,DONA INES,Autorizado,113949.7
MG,DORES DE CAMPOS,Autorizado,113713.8
MG,DORES DE GUANHAES,Autorizado,67419.85
MG,DORES DO INDAIA,Autorizado,145669.54
ES,DORES DO RIO PRETO,Autorizado,77084.64
MG,DORES DO TURVO,Autorizado,60929.58
MG,DORESOPOLIS,Autorizado,42483.87
PE,DORMENTES,Autorizado,199281.51
MS,DOURADINA,Autorizado,73239.48
PR,DOURADINA,Autorizado,95525.11
SP,DOURADO,Autorizado,91438.43
MG,DOURADOQUARA,Autorizado,45088.29
MS,DOURADOS,Autorizado,1850775.13
PR,DOUTOR CAMARGO,Autorizado,74738.18
RS,DOUTOR MAURICIO CARDOSO,Autorizado,59287.43
SC,DOUTOR PEDRINHO,Autorizado,55298.94
RS,DOUTOR RICARDO,Autorizado,42573.39
RN,DOUTOR SEVERIANO,Autorizado,80389.67
PR,DOUTOR ULYSSES,Autorizado,71538.05
GO,DOVERLANDIA,Autorizado,78255.72
SP,DRACENA,Autorizado,427237.43
SP,DUARTINA,Autorizado,125914.6
RJ,DUAS BARRAS,Autorizado,115437.01
PB,DUAS ESTRADAS,Autorizado,56285.46
TO,DUERE,Autorizado,56973.91
SP,DUMONT,Autorizado,100380.76
MA,DUQUE BACELAR,Autorizado,115586.73
RJ,DUQUE DE CAXIAS,Autorizado,6669389.13
MG,DURANDE,Autorizado,86530.53
SP,ECHAPORA,Autorizado,71648.95
ES,ECOPORANGA,Autorizado,227642.08
GO,EDEALINA,Autorizado,54040.08
GO,EDEIA,Autorizado,125077.08
AM,EIRUNEPE,Autorizado,318282.29
MS,ELDORADO,Autorizado,128224.63
SP,ELDORADO,Autorizado,157848.66
RS,ELDORADO DO SUL,Autorizado,381159.69
PA,ELDORADO DOS CARAJAS,Autorizado,301711.48
PI,ELESBAO VELOSO,Autorizado,144583.49
SP,ELIAS FAUSTO,Autorizado,185155.72
PI,ELISEU MARTINS,Autorizado,60518.76
SP,ELISIARIO,Autorizado,55828.44
BA,ELISIO MEDRADO,Autorizado,89450.61
MG,ELOI MENDES,Autorizado,272052.16
PB,EMAS,Autorizado,56195.39
SP,EMBAUBA,Autorizado,46851.47
SP,EMBU,Autorizado,2181612.1
SP,EMBU-GUACU,Autorizado,607286.54
SP,EMILIANOPOLIS,Autorizado,52337.39
RS,ENCANTADO,Autorizado,217535.89
RN,ENCANTO,Autorizado,70893.21
BA,ENCRUZILHADA,Autorizado,176518.44
RS,ENCRUZILHADA DO SUL,Autorizado,247910.02
PR,ENEAS MARQUES,Autorizado,74177.12
PR,ENGENHEIRO BELTRAO,Autorizado,152157.01
MG,ENGENHEIRO CALDAS,Autorizado,120481.15
SP,ENGENHEIRO COELHO,Autorizado,210209.48
MG,ENGENHEIRO NAVARRO,Autorizado,81972.78
RJ,ENGENHEIRO PAULO DE FRONTIN,Autorizado,142109.16
RS,ENGENHO VELHO,Autorizado,35404.28
MG,ENTRE FOLHAS,Autorizado,69109.97
BA,ENTRE RIOS,Autorizado,390448.15
SC,ENTRE RIOS,Autorizado,48843.29
MG,ENTRE RIOS DE MINAS,Autorizado,160111.63
PR,ENTRE RIOS DO OESTE,Autorizado,65484.16
RS,ENTRE RIOS DO SUL,Autorizado,47816.86
RS,ENTRE-IJUIS,Autorizado,86786.3
AM,ENVIRA,Autorizado,194777.62
AC,EPITACIOLANDIA,Autorizado,171754.32
RN,EQUADOR,Autorizado,73435.3
RS,EREBANGO,Autorizado,49576.24
RS,ERECHIM,Autorizado,898082.1
CE,ERERE,Autorizado,82946.23
BA,ERICO CARDOSO,Autorizado,117011.58
SC,ERMO,Autorizado,40718.31
RS,ERNESTINA,Autorizado,50913.08
RS,ERVAL GRANDE,Autorizado,62058.09
RS,ERVAL SECO,Autorizado,75336.5
SC,ERVAL VELHO,Autorizado,57092.94
MG,ERVALIA,Autorizado,195384.79
PE,ESCADA,Autorizado,614737.49
RS,ESMERALDA,Autorizado,51744.28
MG,ESMERALDAS,Autorizado,640167.68
MG,ESPERA FELIZ,Autorizado,249408.88
PB,ESPERANCA,Autorizado,315424.62
RS,ESPERANCA DO SUL,Autorizado,48661.91
PR,ESPERANCA NOVA,Autorizado,44579.48
TO,ESPERANTINA,Autorizado,110820.24
PI,ESPERANTINA,Autorizado,355581.89
MA,ESPERANTINOPOLIS,Autorizado,162889.35
PR,ESPIGAO ALTO DO IGUACU,Autorizado,60836.35
RO,ESPIGAO D'OESTE,Autorizado,289146.49
MG,ESPINOSA,Autorizado,303765.46
RN,ESPIRITO SANTO,Autorizado,114383.05
MG,ESPIRITO SANTO DO DOURADO,Autorizado,64572.99
SP,ESPIRITO SANTO DO PINHAL,Autorizado,408673.96
SP,ESPIRITO SANTO DO TURVO,Autorizado,64029.62
BA,ESPLANADA,Autorizado,361965.7
RS,ESPUMOSO,Autorizado,156261.91
RS,ESTACAO,Autorizado,69982.19
SE,ESTANCIA,Autorizado,605687.51
RS,ESTANCIA VELHA,Autorizado,461427.27
RS,ESTEIO,Autorizado,712444.58
MG,ESTIVA,Autorizado,121506.3
SP,ESTIVA GERBI,Autorizado,119583.61
MA,ESTREITO,Autorizado,380124.91
RS,ESTRELA,Autorizado,317336.67
SP,ESTRELA D'OESTE,Autorizado,88231.39
MG,ESTRELA DALVA,Autorizado,47810.48
AL,ESTRELA DE ALAGOAS,Autorizado,194340.58
MG,ESTRELA DO INDAIA,Não Cadastrado,55949.29
GO,ESTRELA DO NORTE,Autorizado,51096.26
SP,ESTRELA DO NORTE,Autorizado,49123.42
MG,ESTRELA DO SUL,Autorizado,87631.87
RS,ESTRELA VELHA,Autorizado,54203.26
BA,EUCLIDES DA CUNHA,Autorizado,555877.36
SP,EUCLIDES DA CUNHA PAULISTA,Autorizado,94188.32
RS,EUGENIO DE CASTRO,Autorizado,44949.22
MG,EUGENOPOLIS,Autorizado,121277.73
BA,EUNAPOLIS,Autorizado,975826.68
CE,EUSEBIO,Autorizado,501110.07
MG,EWBANK DA CAMARA,Autorizado,59059.37
MG,EXTREMA,Autorizado,356252.3
RN,EXTREMOZ,Autorizado,276167.96
PE,EXU,Autorizado,307598.99
PB,FAGUNDES,Autorizado,119525.65
RS,FAGUNDES VARELA,Autorizado,47996.96
GO,FAINA,Autorizado,73774.15
MG,FAMA,Autorizado,48267.62
MG,FARIA LEMOS,Autorizado,54002.91
CE,FARIAS BRITO,Autorizado,199292.99
PA,FARO,Autorizado,72780.99
PR,FAROL,Autorizado,54013.61
RS,FARROUPILHA,Autorizado,636340.6
SP,FARTURA,Autorizado,161381.26
PI,FARTURA DO PIAUI,Autorizado,63199.4
BA,FATIMA,Autorizado,189589.06
TO,FATIMA,Autorizado,51003.14
MS,FATIMA DO SUL,Autorizado,195672.1
PR,FAXINAL,Autorizado,186914.52
RS,FAXINAL DO SOTURNO,Autorizado,75017.88
SC,FAXINAL DOS GUEDES,Autorizado,108905.61
RS,FAXINALZINHO,Autorizado,44575.17
GO,FAZENDA NOVA,Autorizado,66459.6
PR,FAZENDA RIO GRANDE,Autorizado,896071.36
RS,FAZENDA VILANOVA,Autorizado,61365.42
AC,FEIJO,Autorizado,296060.52
BA,FEIRA DA MATA,Autorizado,72320.95
BA,FEIRA DE SANTANA,Autorizado,4666983.72
AL,FEIRA GRANDE,Autorizado,221271.44
SE,FEIRA NOVA,Autorizado,69252.59
PE,FEIRA NOVA,Autorizado,220851.15
MA,FEIRA NOVA DO MARANHAO,Autorizado,86120.31
MG,FELICIO DOS SANTOS,Autorizado,64074.28
RN,FELIPE GUERRA,Autorizado,73054.32
MG,FELISBURGO,Autorizado,84106.19
MG,FELIXLANDIA,Autorizado,160596.49
RS,FELIZ,Autorizado,143336.75
AL,FELIZ DESERTO,Autorizado,67046.23
MT,FELIZ NATAL,Autorizado,144436.64
PR,FENIX,Autorizado,66059.07
PR,FERNANDES PINHEIRO,Autorizado,71787.44
MG,FERNANDES TOURINHO,Autorizado,56067.05
MA,FERNANDO FALCAO,Autorizado,109408.16
RN,FERNANDO PEDROZA,Autorizado,52773.05
SP,FERNANDO PRESTES,Autorizado,70118.14
SP,FERNANDOPOLIS,Autorizado,602285.49
SP,FERNAO,Autorizado,41954.32
SP,FERRAZ DE VASCONCELOS,Autorizado,1623302.06
AP,FERREIRA GOMES,Autorizado,71957.99
PE,FERREIROS,Autorizado,149074.5
MG,FERROS,Autorizado,108761.22
MG,FERVEDOURO,Autorizado,119317.45
PR,FIGUEIRA,Autorizado,86084.05
MS,FIGUEIRAO,Autorizado,52743.5
TO,FIGUEIROPOLIS,Autorizado,60686.62
MT,FIGUEIROPOLIS D'OESTE,Não Cadastrado,48584.73
TO,FILADELFIA,Autorizado,86107.48
BA,FILADELFIA,Autorizado,179289.11
BA,FIRMINO ALVES,Autorizado,72217.07
GO,FIRMINOPOLIS,Autorizado,141836.72
AL,FLEXEIRAS,Autorizado,133857.24
PR,FLOR DA SERRA DO SUL,Autorizado,65013.14
SC,FLOR DO SERTAO,Autorizado,37365.81
SP,FLORA RICA,Autorizado,39585.4
PR,FLORAI,Autorizado,67091.15
RN,FLORANIA,Autorizado,99119.37
SP,FLOREAL,Autorizado,49885.36
PE,FLORES,Autorizado,222596.68
RS,FLORES DA CUNHA,Autorizado,294360.95
GO,FLORES DE GOIAS,Autorizado,177755.49
PI,FLORES DO PIAUI,Autorizado,57180.12
PE,FLORESTA,Autorizado,319921.54
PR,FLORESTA,Autorizado,81242.31
BA,FLORESTA AZUL,Autorizado,117094.72
PA,FLORESTA DO ARAGUAIA,Autorizado,192968.08
PI,FLORESTA DO PIAUI,Autorizado,44019.46
MG,FLORESTAL,Autorizado,84480.24
PR,FLORESTOPOLIS,Autorizado,116117.83
PI,FLORIANO,Autorizado,512730.22
RS,FLORIANO PEIXOTO,Autorizado,40786.3
SC,FLORIANOPOLIS,Autorizado,4087992.85
PR,FLORIDA,Autorizado,52032.58
SP,FLORIDA PAULISTA,Autorizado,153304.76
SP,FLORINIA,Autorizado,48132.92
AM,FONTE BOA,Autorizado,164722.83
RS,FONTOURA XAVIER,Autorizado,109118.32
MG,FORMIGA,Autorizado,598002.04
RS,FORMIGUEIRO,Autorizado,74449.88
GO,FORMOSA,Autorizado,1032578.24
MA,FORMOSA DA SERRA NEGRA,Autorizado,188954.8
PR,FORMOSA DO OESTE,Autorizado,77217.93
BA,FORMOSA DO RIO PRETO,Autorizado,258197.47
SC,FORMOSA DO SUL,Autorizado,43641.35
MG,FORMOSO,Autorizado,99774.31
GO,FORMOSO,Autorizado,56949.29
TO,FORMOSO DO ARAGUAIA,Autorizado,176190.92
RS,FORQUETINHA,Autorizado,45496.42
CE,FORQUILHA,Autorizado,247250.71
SC,FORQUILHINHA,Autorizado,253052.89
CE,FORTALEZA,Autorizado,21914264.82
MG,FORTALEZA DE MINAS,Autorizado,62716.65
TO,FORTALEZA DO TABOCAO,Autorizado,42628.81
MA,FORTALEZA DOS NOGUEIRAS,Autorizado,123974.93
RS,FORTALEZA DOS VALOS,Autorizado,58400.8
CE,FORTIM,Autorizado,170702.23
MA,FORTUNA,Autorizado,177782.08
MG,FORTUNA DE MINAS,Autorizado,52506.76
PR,FOZ DO IGUACU,Autorizado,2070188.54
PR,FOZ DO JORDAO,Autorizado,64202.74
SC,FRAIBURGO,Autorizado,324918.27
SP,FRANCA,Autorizado,2730723.53
PI,FRANCINOPOLIS,Autorizado,63303.3
PR,FRANCISCO ALVES,Autorizado,74426.48
PI,FRANCISCO AYRES,Autorizado,56064.92
MG,FRANCISCO BADARO,Autorizado,113852.34
PR,FRANCISCO BELTRAO,Autorizado,812653.8
RN,FRANCISCO DANTAS,Autorizado,50833.59
MG,FRANCISCO DUMONT,Autorizado,68313.39
PI,FRANCISCO MACEDO,Autorizado,48556.42
SP,FRANCISCO MORATO,Autorizado,1489693.61
MG,FRANCISCO SA,Autorizado,257526.95
PI,FRANCISCO SANTOS,Autorizado,91550.23
MG,FRANCISCOPOLIS,Autorizado,68445
SP,FRANCO DA ROCHA,Autorizado,1344690.78
CE,FRECHEIRINHA,Autorizado,152824.49
RS,FREDERICO WESTPHALEN,Autorizado,296598.24
MG,FREI GASPAR,Autorizado,72400.14
MG,FREI INOCENCIO,Autorizado,99123.2
MG,FREI LAGONEGRO,Autorizado,56039.35
PB,FREI MARTINHO,Autorizado,52267.97
PE,FREI MIGUELINHO,Autorizado,163260.31
SE,FREI PAULO,Autorizado,159241.34
SC,FREI ROGERIO,Autorizado,39741.65
MG,FRONTEIRA,Autorizado,194325.01
MG,FRONTEIRA DOS VALES,Autorizado,63284.64
PI,FRONTEIRAS,Autorizado,116013.11
MG,FRUTA DE LEITE,Autorizado,68064.02
MG,FRUTAL,Autorizado,535804.47
RN,FRUTUOSO GOMES,Autorizado,59242.55
ES,FUNDAO,Autorizado,215075.54
MG,FUNILANDIA,Autorizado,62536.56
SP,GABRIEL MONTEIRO,Autorizado,49137.28
PB,GADO BRAVO,Autorizado,89000.1
SP,GALIA,Autorizado,74371.11
MG,GALILEIA,Autorizado,78675.68
RN,GALINHOS,Autorizado,51540.09
SC,GALVAO,Autorizado,45234.49
PE,GAMELEIRA,Autorizado,306691.6
GO,GAMELEIRA DE GOIAS,Autorizado,55737.11
